label,place,extract,url,size,image,sortkey,views,latitude,longitude
Josef Zíma,Divadelní fakulta AMU,"<p><b>Josef Zíma</b> je český herec, dabér, zpěvák a moderátor, manžel herečky Evy Klepáčové. Kromě pop music je známý jako zpěvák české dechovky. Často bývá označován jako nekorunovaný <i>král české dechovky</i>.</p>",https://cs.wikipedia.org/wiki/Josef_Z%C3%ADma,1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Josef_Z%C3%ADma_3.JPG/320px-Josef_Z%C3%ADma_3.JPG,229,3277,50.08713732676953,14.401638284328168
Josef Abrhám,Zlín,"<p><b>Josef Abrhám</b> je český herec, manžel herečky Libuše Šafránkové, vnuk slovenského dramatika, prozaika a evangelického faráře Jozefa Hollého, synovec slovenského herce Martina Hollého st. a bratranec slovenského režiséra Martina Hollého ml.</p>",https://cs.wikipedia.org/wiki/Josef_Abrh%C3%A1m,1,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Abrham.jpg/227px-Abrham.jpg,230,3256,49.232405322379655,17.66691882733932
Miroslav Donutil,Třebíč,"<p><b>Miroslav Donutil</b> je český herec, moderátor, bavič a zpěvák. Je bývalým členem činohry Národního divadla v Praze.</p>",https://cs.wikipedia.org/wiki/Miroslav_Donutil,1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/NovinarskaKonferenceCTSrpen2016_%2816%29_%28cropped%29.jpg/262px-NovinarskaKonferenceCTSrpen2016_%2816%29_%28cropped%29.jpg,231,3233.5,49.2149674,15.88167594
Martina Sáblíková,Nové Město na Moravě,"<p><b>Martina Sáblíková</b> je česká rychlobruslařka specializující se na dlouhé tratě 3000 a 5000 m. Je trojnásobnou olympijskou vítězkou, mnohonásobnou mistryní světa a Evropy, držitelkou několika světových rekordů. Několikrát také vyhrála mistrovství České republiky v rychlobruslení.</p>",https://cs.wikipedia.org/wiki/Martina_S%C3%A1bl%C3%ADkov%C3%A1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Brno%2C_Jo%C5%A1tova%2C_knihkupectv%C3%AD_Dobrovsk%C3%BD%2C_autogrami%C3%A1da_Martiny_S%C3%A1bl%C3%ADkov%C3%A9_%2804%29.jpg/272px-Brno%2C_Jo%C5%A1tova%2C_knihkupectv%C3%AD_Dobrovsk%C3%BD%2C_autogrami%C3%A1da_Martiny_S%C3%A1bl%C3%ADkov%C3%A9_%2804%29.jpg,232,3224.5,49.56148188,16.07422054
Kovy (youtuber),Pardubice,"<p><b>Karel Kovář</b>, známý také jako <b>Kovy</b>, je český youtuber, vloger, moderátor, dabér, spisovatel a v minulosti také let's player. Přezdívka Kovy se odvíjí od jeho příjmení. K roku 2020 má na svém hlavním YouTube kanále (<i>Kovy</i>) přes 800 tisíc odběratelů, z toho 75 procent ve věkové skupině 18 až 34 let. Kromě YouTube působí na dalších sociálních sítích jako Instagram či Twitter. Jeho dosud nejsledovanějším videem je parodie na píseň „Despacito“, která přesáhla hranici 12 milionů zhlédnutí.</p>",https://cs.wikipedia.org/wiki/Kovy_(youtuber),1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Karel_Kov%C3%A1%C5%99%2C_Show_Jana_Krause_3._1._2018.png/320px-Karel_Kov%C3%A1%C5%99%2C_Show_Jana_Krause_3._1._2018.png,233,3198,50.03949382800016,15.77835197769556
Dana Batulková,Divadlo Komedie,<p><b>Dana Batulková </b>vlastním jménem <b>Danuše Batulková </b>(* 16. března 1958 Praha) je česká divadelní a filmová herečka. V prosinci 2008 vyhrála s Janem Onderem třetí řadu televizní taneční soutěže České televize <i>StarDance ...když hvězdy tančí.</i></p>,https://cs.wikipedia.org/wiki/Dana_Batulkov%C3%A1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Dana_Batulkov%C3%A1_2013.JPG/227px-Dana_Batulkov%C3%A1_2013.JPG,234,3196,50.0793303,14.4128892
Jiří Korn,Divadlo Na Fidlovačce,"<p><b>Jiří Korn</b> je český muzikálový a popový zpěvák, baskytarista, tanečník, moderátor a herec.</p>",https://cs.wikipedia.org/wiki/Ji%C5%99%C3%AD_Korn,1,https://upload.wikimedia.org/wikipedia/commons/e/e5/Ji%C5%99%C3%AD_Korn.jpg,235,3192,50.0646752,14.4271134
Berenika Kohoutová,Praha,"<p><b>Berenika</b> <b>Kohoutová,</b> dříve vdaná <b>Čecháková</b>, je česká herečka, zpěvačka, blogerka a spisovatelka.</p>",https://cs.wikipedia.org/wiki/Berenika_Kohoutov%C3%A1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Berenika_Kohoutov%C3%A1%2C_2016.jpg/267px-Berenika_Kohoutov%C3%A1%2C_2016.jpg,236,3184.5,50.083436558834926,14.4156724466526
Květa Fialová,Janáčkova Akademie Múzických Umění v Brně,"<p><b>Květa Fialová</b> byla česká herečka, oblíbená divadelní, filmová a televizní diva, manželka českého režiséra Pavla Háši.</p>",https://cs.wikipedia.org/wiki/Kv%C4%9Bta_Fialov%C3%A1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Kv%C4%9Bta_Fialov%C3%A1_2009a.jpg/240px-Kv%C4%9Bta_Fialov%C3%A1_2009a.jpg,237,3182.5,49.196374833964875,16.61128348396569
Květa Fialová,Veľké Dravce,"<p><b>Květa Fialová</b> byla česká herečka, oblíbená divadelní, filmová a televizní diva, manželka českého režiséra Pavla Háši.</p>",https://cs.wikipedia.org/wiki/Kv%C4%9Bta_Fialov%C3%A1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Kv%C4%9Bta_Fialov%C3%A1_2009a.jpg/240px-Kv%C4%9Bta_Fialov%C3%A1_2009a.jpg,238,3182.5,48.34638889,19.83722222
Dominik Feri,Kadaň,"<p><b>Dominik Feri</b> je český politik a instagramový influencer, od října 2017 poslanec Poslanecké sněmovny PČR a od 7. listopadu 2014 člen Rady statutárního města Teplice. Svým zvolením se stal v roce 2014 nejmladším radním v Česku a v roce 2017 nejmladším poslancem České republiky v historii. Feri je členem liberálně konzervativní strany TOP 09 a osobním poradcem Karla Schwarzenberga.</p>",https://cs.wikipedia.org/wiki/Dominik_Feri,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Dominik_Feri_%E2%80%93_Show_Jana_Krause_%2810-11%29.png/320px-Dominik_Feri_%E2%80%93_Show_Jana_Krause_%2810-11%29.png,239,3181,50.37608554,13.27139735
Xindl X,Praha,"<p><b>Xindl X</b>, vlastním jménem <b>Ondřej Ládek</b> je český písničkář.</p>",https://cs.wikipedia.org/wiki/Xindl_X,1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Xindlx.JPG/320px-Xindlx.JPG,240,3175.5,50.08381893785456,14.417035716078528
Věra Špinarová,Pohořelice,<p><b>Věra Špinarová</b> byla česká zpěvačka.</p>,https://cs.wikipedia.org/wiki/V%C4%9Bra_%C5%A0pinarov%C3%A1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/V%C4%9Bra_%C5%A0pinarov%C3%A1_-_Show_Jana_Krause.jpg/320px-V%C4%9Bra_%C5%A0pinarov%C3%A1_-_Show_Jana_Krause.jpg,241,3158,48.98121741,16.52445714
Petr Muk,Český Krumlov,<p><b>Petr Muk</b> byl český zpěvák a hudebník.</p>,https://cs.wikipedia.org/wiki/Petr_Muk,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Petr_Muk_2009.JPG/213px-Petr_Muk_2009.JPG,242,3114,48.81099044,14.31520771
Jiří Schmitzer,Studio Ypsilon,"<p><b>Jiří Schmitzer</b> je český herec a písničkář, syn herce Jiřího Sováka. Je čtyřnásobným držitelem Českého lva pro nejlepšího herce v hlavní roli, za výkony ve filmech <i>Bumerang</i>, <i>Kráska v nesnázích</i>, <i>Jako nikdy</i> a <i>Staříci</i>.</p>",https://cs.wikipedia.org/wiki/Ji%C5%99%C3%AD_Schmitzer,1,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Ji%C5%99%C3%AD_Schmitzer8.jpg/240px-Ji%C5%99%C3%AD_Schmitzer8.jpg,243,3108.5,50.0806803,14.4111653
Svatá Ludmila,Tetín (hradiště),"<p><b>Svatá Ludmila</b> byla manželkou prvního historicky doloženého Přemyslovce, knížete Bořivoje I., matkou knížete Vratislava I., babičkou sv. Václava a chronologicky první českou svatou.</p>",https://cs.wikipedia.org/wiki/Svat%C3%A1_Ludmila,1,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Votivni_obraz_Ocko_-_Ludmila.jpg/214px-Votivni_obraz_Ocko_-_Ludmila.jpg,244,3106.5,49.9494,14.1047
František Filipovský,Přelouč,"<p><b>František Filipovský</b> byl český herec a dabér, který působil v divadle, filmu i televizi.</p>",https://cs.wikipedia.org/wiki/Franti%C5%A1ek_Filipovsk%C3%BD,1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Franti%C5%A1ek_Filipovsk%C3%BD.jpg/225px-Franti%C5%A1ek_Filipovsk%C3%BD.jpg,245,3095.5,50.03989714,15.56037329
